,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
2807,1141391.0,160225.0,522320.0,352133.6,18884.0,0.306,0.431,5,14,1.361
2808,1652044.0,160329.0,518210.0,1918191.02184,257637.0,0.176,0.208,1,3,0.263
2809,899460.0,160340.0,325414.0,1098.95886,75.442,-0.271,-0.719,3,9,
2810,1288403.0,160341.0,211120.0,461.44749,558.01,0.157,0.139,2,4,
2811,1289460.0,160376.0,722511.0,6194.42496,3463.946,0.094,0.022,3,7,0.255
2812,1505732.0,160423.0,522110.0,256.25052,87.233,0.01,0.111,3,11,0.179
2813,1289850.0,160488.0,339112.0,33.5336,8.253,-0.371,-0.388,2,5,-0.199
2814,854800.0,160555.0,334511.0,101.62188,55.676,-0.768,-47.433,1,5,-0.272
2815,1290900.0,160570.0,336390.0,258.2021,971.578,0.073,-0.059,0,7,0.098
2816,1124941.0,160598.0,423330.0,3347.976,6642.0,0.066,-0.012,1,3,
2817,1080014.0,160668.0,325412.0,1200.0135,391.866,0.404,0.672,3,7,0.735
2818,1173514.0,160681.0,333924.0,691.5897,3075.7,0.048,0.009,3,10,-0.526
2819,1262823.0,160684.0,325211.0,12424.48108,11778.0,0.086,0.039,5,11,0.265
2820,1576263.0,160770.0,325414.0,8120.31833,72.092,-0.591,-26.95,6,10,-0.61
2821,884219.0,160785.0,561920.0,879.46287,507.34,-0.013,-0.475,3,9,0.276
2822,1280452.0,160888.0,334413.0,22819.47248,1207.798,0.17,0.198,1,3,0.304
2823,1296445.0,160913.0,2211.0,4445.2408,663.084,0.106,0.108,6,9,0.035
2824,1730984.0,161023.0,522110.0,200.3568,92.877,0.019,0.142,4,9,0.084
2825,1113809.0,161055.0,451120.0,89.37291,255.31,-0.047,-0.103,4,7,0.544
2826,1299969.0,161072.0,531.0,39.9446,31.093,0.195,0.124,0,1,0.362
2827,1301787.0,161813.0,423310.0,931.36176,4277.178,0.13,0.018,5,9,0.825
2828,1302028.0,161843.0,333924.0,126.8184,211.539,0.025,-0.063,1,9,-0.206
2829,1300514.0,161844.0,721120.0,28756.5836,4293.0,0.051,-0.103,5,10,-0.339
2830,1617242.0,161853.0,522180.0,910.64975,255.016,0.012,0.176,1,2,0.067
2831,1578776.0,161924.0,522120.0,118.55494,41.676,0.014,0.19,3,5,-0.003
2832,1289848.0,161997.0,541611.0,1091.313,926.958,0.084,-0.004,2,8,0.155
2833,1305168.0,162076.0,561499.0,150.878,272.208,0.12,0.018,0,5,0.076
2834,1304421.0,162127.0,517311.0,850.07956,1282.233,0.141,0.029,3,7,-0.194
2835,1285785.0,162129.0,3253.0,14487.48028,12357.4,0.058,-0.13,6,12,0.306
2836,1124524.0,162146.0,339113.0,2935.77872,222.608,-0.066,-0.559,4,7,-0.473
2837,1342958.0,162233.0,334310.0,54.46728,21.413,-0.649,-0.564,0,1,-0.166
2838,1306830.0,162254.0,325199.0,18154.51344,8537.0,0.108,0.107,3,9,0.335
2839,1296435.0,162264.0,322121.0,776.53212,1028.5,0.116,-0.013,1,6,-0.075
2840,1562463.0,162293.0,522110.0,458.82816,164.204,0.011,0.15,7,9,0.112
2841,1295947.0,162335.0,424210.0,2200.07688,943.365,0.098,0.17,1,7,0.105
2842,1308208.0,162338.0,4841.0,507.69234,1750.98,0.156,0.029,0,5,0.393
2843,1308547.0,162354.0,533110.0,8894.424,1281.256,0.109,0.199,4,10,0.076
2844,1309108.0,162385.0,518210.0,6293.26253,1850.542,0.071,0.028,1,5,0.049
2845,1767258.0,162400.0,336390.0,1885.41564,259.263,0.403,0.112,2,4,0.427
2846,1307954.0,162401.0,3251.0,7470.2496,8453.0,0.052,0.028,6,14,0.256
2847,1303313.0,162404.0,621610.0,4203.90382,2219.622,0.082,0.05,0,9,0.038
2848,1297989.0,162449.0,518210.0,4819.53807,1122.293,0.122,0.081,1,4,0.201
2849,738214.0,162453.0,325193.0,411.5703,211.949,0.069,-0.16,1,6,
2850,1299709.0,162560.0,522180.0,2751.76202,723.124,0.033,0.263,3,6,0.154
2851,1320854.0,162742.0,336510.0,58.84443,203.05,-0.172,-0.858,4,8,
2852,1500375.0,162825.0,522180.0,65.3445,25.697,0.017,0.155,1,3,0.098
2853,1093557.0,162887.0,334510.0,52084.15,2448.5,0.142,0.127,5,11,0.104
2854,1226616.0,162892.0,325414.0,131.43524,4.038,-0.15,-2.832,1,4,-0.16
2855,1171155.0,162914.0,488510.0,346.0149,889.124,0.123,0.013,3,3,0.265
2856,1318008.0,162988.0,448140.0,1102.80492,990.652,0.134,0.072,4,7,0.109
2857,1316835.0,163036.0,321992.0,15412.3722,19893.856,0.155,0.028,5,10,0.511
2858,1362004.0,174637.0,541611.0,1935.7338,1553.048,0.086,0.042,1,6,0.08
2859,1318484.0,163051.0,448140.0,582.743,783.294,0.082,0.021,4,9,0.497
2860,1315257.0,163113.0,325194.0,660.3048,1678.6,0.132,0.056,4,5,0.17
2861,1319161.0,163118.0,512250.0,21984.85764,5301.0,0.029,-0.106,3,9,1.289
2862,778164.0,163595.0,325193.0,350.06699,1207.892,0.076,-0.033,4,7,0.081
2863,1571949.0,163610.0,523999.0,76727.97,9168.0,0.033,0.262,4,6,0.097
2864,1286613.0,163668.0,611210.0,201.69747,335.336,0.098,0.041,1,9,0.231
2865,1318568.0,163678.0,333318.0,1949.53255,660.385,0.104,-0.212,0,3,1.074
2866,1320461.0,163765.0,3363.0,380.79072,2330.191,0.001,-0.128,5,11,-0.747
2867,1323885.0,163889.0,339112.0,3199.49248,274.329,-0.059,-0.217,3,9,-0.118
2868,1324272.0,163891.0,722511.0,666.7097,429.123,0.049,-0.037,2,6,0.29
2869,1212545.0,163920.0,522110.0,11478.82715,2055.7,0.024,0.337,1,9,0.221
2870,1324404.0,163946.0,325311.0,14692.22928,6538.0,0.123,0.07,3,11,0.673
2871,1175151.0,163965.0,339112.0,182.17282,43.166,-0.334,-0.305,4,6,-0.7
2872,1320695.0,163983.0,311421.0,2261.574,4327.6,0.095,-0.002,2,7,-0.043
2873,1273441.0,164046.0,2111.0,279.4340595,473.722,-0.21,-2.336,3,8,0.547
2874,1317945.0,164116.0,332912.0,1281.4333,130.011,0.367,0.176,0,3,0.409
2875,1051514.0,164293.0,339112.0,50.344725,29.977,0.008,-0.177,5,6,-0.253
2876,1437107.0,164296.0,515210.0,12005.4,12191.0,0.126,0.133,6,13,-0.201
2877,1594012.0,164364.0,522110.0,3757.15455,983.101,0.015,0.183,4,11,0.111
2878,1569994.0,164365.0,522120.0,542.0187,273.078,0.056,0.216,1,1,0.074
2879,1722010.0,164395.0,522110.0,193.16088,80.175,0.021,0.208,2,7,0.209
2880,1159167.0,164416.0,339999.0,1779.15528,1564.987,0.163,0.117,5,8,-0.329
2881,1364885.0,164494.0,336413.0,4526.08742,3953.0,-0.025,-0.113,4,10,-1.1
2882,712034.0,164506.0,323111.0,791.45668,2025.3,0.079,0.044,1,4,0.022
2883,1324948.0,164557.0,332991.0,4963.72002,608.984,0.134,0.161,5,9,0.044
2884,1018979.0,164572.0,524126.0,1042.36412,315.934,0.075,0.268,3,9,0.092
2885,1331520.0,164633.0,522110.0,3986.07065,762.74,0.023,0.26,7,16,0.09
2886,1332349.0,164652.0,623311.0,964.70328,2745.891,0.076,0.01,4,9,-0.45
2887,820027.0,164708.0,523110.0,33442.32926,13443.0,0.014,0.153,2,4,0.534
2888,1693577.0,164724.0,522110.0,181.15453,70.309,0.017,0.172,0,9,0.149
2889,1334036.0,164755.0,316210.0,7479.0726,2313.416,0.273,0.121,1,3,1.204
2890,867773.0,165051.0,3359.0,3611.59524,1334.318,0.002,0.198,4,6,0.297
